"No.","Time","Delta","Source","Destination","Protocol","Length","Info"
"12","2026-09-03 10:47:10,682348Z","0.000039","127.0.0.1","127.0.0.1","TCP","44","49162  >  135 [ACK] Seq=117 Ack=85 Win=525312 Len=0"
"13","2026-09-03 10:47:10,682470Z","0.000122","127.0.0.1","127.0.0.1","DCERPC","128","Bind_ack: call_id: 2, Fragment: Single, max_xmit: 5840 max_recv: 5840, 2 results: Acceptance, Negotiate ACK"
"14","2026-09-03 10:47:10,682503Z","0.000033","127.0.0.1","127.0.0.1","TCP","44","49163  >  1337 [ACK] Seq=117 Ack=85 Win=525312 Len=0"
"15","2026-09-03 10:47:10,683300Z","0.000797","127.0.0.1","127.0.0.1","IOXIDResolver","68","ServerAlive2 request IOXIDResolver V0"
"16","2026-09-03 10:47:10,683317Z","0.000017","127.0.0.1","127.0.0.1","TCP","44","1337  >  49163 [ACK] Seq=85 Ack=141 Win=525568 Len=0"
"17","2026-09-03 10:47:11,681269Z","0.997952","127.0.0.1","127.0.0.1","IOXIDResolver","68","ServerAlive2 request IOXIDResolver V0"
"18","2026-09-03 10:47:11,681329Z","0.000060","127.0.0.1","127.0.0.1","TCP","44","135  >  49162 [ACK] Seq=85 Ack=141 Win=525568 Len=0"
"19","2026-09-03 10:47:11,681583Z","0.000254","127.0.0.1","127.0.0.1","IOXIDResolver","428","ServerAlive2 response"
"20","2026-09-03 10:47:11,681634Z","0.000051","127.0.0.1","127.0.0.1","TCP","44","49162  >  135 [ACK] Seq=141 Ack=469 Win=525056 Len=0"
"21","2026-09-03 10:47:11,681930Z","0.000296","127.0.0.1","127.0.0.1","IOXIDResolver","428","ServerAlive2 response"
"22","2026-09-03 10:47:11,681981Z","0.000051","127.0.0.1","127.0.0.1","TCP","44","49163  >  1337 [ACK] Seq=141 Ack=469 Win=525056 Len=0"
"23","2026-09-03 10:47:11,685101Z","0.003120","127.0.0.1","127.0.0.1","TCP","56","49164  >  1337 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"24","2026-09-03 10:47:11,685143Z","0.000042","127.0.0.1","127.0.0.1","TCP","56","1337  >  49164 [SYN, ACK, ECE] Seq=0 Ack=1 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"25","2026-09-03 10:47:11,685311Z","0.000168","127.0.0.1","127.0.0.1","TCP","44","49164  >  1337 [ACK] Seq=1 Ack=1 Win=525568 Len=0"
"26","2026-09-03 10:47:11,688045Z","0.002734","127.0.0.1","127.0.0.1","DCERPC","188","Bind: call_id: 3, Fragment: Single, 1 context items: IOXIDResolver V0.0 (32bit NDR), NTLMSSP_NEGOTIATE"
"27","2026-09-03 10:47:11,688087Z","0.000042","127.0.0.1","127.0.0.1","TCP","44","1337  >  49164 [ACK] Seq=1 Ack=145 Win=525568 Len=0"
"28","2026-09-03 10:47:11,692164Z","0.004077","127.0.0.1","127.0.0.1","TCP","56","49165  >  135 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"29","2026-09-03 10:47:11,692194Z","0.000030","127.0.0.1","127.0.0.1","TCP","56","135  >  49165 [SYN, ACK, ECE] Seq=0 Ack=1 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"30","2026-09-03 10:47:11,692309Z","0.000115","127.0.0.1","127.0.0.1","TCP","44","49165  >  135 [ACK] Seq=1 Ack=1 Win=525568 Len=0"
"31","2026-09-03 10:47:11,692315Z","0.000006","127.0.0.1","127.0.0.1","DCERPC","188","Bind: call_id: 3, Fragment: Single, 1 context items: IOXIDResolver V0.0 (32bit NDR), NTLMSSP_NEGOTIATE"
"32","2026-09-03 10:47:11,692363Z","0.000048","127.0.0.1","127.0.0.1","TCP","44","135  >  49165 [ACK] Seq=1 Ack=145 Win=525568 Len=0"
"33","2026-09-03 10:47:11,693074Z","0.000711","127.0.0.1","127.0.0.1","DCERPC","350","Bind_ack: call_id: 3, Fragment: Single, max_xmit: 5840 max_recv: 5840, 1 results: Acceptance, NTLMSSP_CHALLENGE"
"34","2026-09-03 10:47:11,693107Z","0.000033","127.0.0.1","127.0.0.1","TCP","44","49165  >  135 [ACK] Seq=145 Ack=307 Win=525056 Len=0"
"35","2026-09-03 10:47:11,693362Z","0.000255","127.0.0.1","127.0.0.1","DCERPC","350","Bind_ack: call_id: 3, Fragment: Single, max_xmit: 5840 max_recv: 5840, 1 results: Acceptance, NTLMSSP_CHALLENGE"
"36","2026-09-03 10:47:11,693393Z","0.000031","127.0.0.1","127.0.0.1","TCP","44","49164  >  1337 [ACK] Seq=145 Ack=307 Win=525056 Len=0"
"37","2026-09-03 10:47:11,693667Z","0.000274","127.0.0.1","127.0.0.1","DCERPC","160","AUTH3: call_id: 3, Fragment: Single, NTLMSSP_AUTH, User: anonymous"
"38","2026-09-03 10:47:11,693684Z","0.000017","127.0.0.1","127.0.0.1","TCP","44","1337  >  49164 [ACK] Seq=307 Ack=261 Win=525312 Len=0"
"39","2026-09-03 10:47:11,693710Z","0.000026","127.0.0.1","127.0.0.1","IOXIDResolver","86","ResolveOxid2 request"
"40","2026-09-03 10:47:11,693716Z","0.000006","127.0.0.1","127.0.0.1","TCP","44","1337  >  49164 [ACK] Seq=307 Ack=303 Win=525312 Len=0"
"41","2026-09-03 10:47:12,681645Z","0.987929","127.0.0.1","127.0.0.1","IOXIDResolver","202","ResolveOxid2 request"
"42","2026-09-03 10:47:12,681703Z","0.000058","127.0.0.1","127.0.0.1","TCP","44","135  >  49165 [ACK] Seq=307 Ack=303 Win=525312 Len=0"
"43","2026-09-03 10:47:12,682357Z","0.000654","127.0.0.1","127.0.0.1","IOXIDResolver","100","ResolveOxid2 response -> S_OK[Long frame (24 bytes)]"
"44","2026-09-03 10:47:12,682393Z","0.000036","127.0.0.1","127.0.0.1","TCP","44","49165  >  135 [ACK] Seq=303 Ack=363 Win=525056 Len=0"
"45","2026-09-03 10:47:12,682792Z","0.000399","127.0.0.1","127.0.0.1","IOXIDResolver","100","ResolveOxid2 response -> S_OK[Long frame (24 bytes)]"
"46","2026-09-03 10:47:12,682832Z","0.000040","127.0.0.1","127.0.0.1","TCP","44","49164  >  1337 [ACK] Seq=303 Ack=363 Win=525056 Len=0"
"47","2026-09-03 10:47:12,810592Z","0.127760","127.0.0.1","127.0.0.1","TCP","44","49162  >  135 [RST, ACK] Seq=141 Ack=469 Win=0 Len=0"
"48","2026-09-03 10:47:12,810705Z","0.000113","127.0.0.1","127.0.0.1","TCP","44","1337  >  49164 [RST, ACK] Seq=363 Ack=303 Win=0 Len=0"
"49","2026-09-03 10:47:12,810731Z","0.000026","127.0.0.1","127.0.0.1","TCP","44","1337  >  49163 [RST, ACK] Seq=469 Ack=141 Win=0 Len=0"
"50","2026-09-03 10:47:12,810776Z","0.000045","127.0.0.1","127.0.0.1","TCP","44","49165  >  135 [RST, ACK] Seq=303 Ack=363 Win=0 Len=0"
"51","2026-09-03 10:47:13,640845Z","0.830069","192.168.100.114","192.168.100.255","BROWSER","233","Host Announcement WIN-3I4DRJ90LFP, Workstation, Server, NT Workstation, NT Server"
"52","2026-09-03 10:47:16,383960Z","2.743115","fe80::7126:5637:79c8:1428","ff02::1:ff00:7","ICMPv6","76","Multicast Listener Report"
"53","2026-09-03 10:47:16,883801Z","0.499841","fe80::7126:5637:79c8:1428","ff02::1:3","ICMPv6","76","Multicast Listener Report"
"54","2026-09-03 10:47:17,383828Z","0.500027","fe80::7126:5637:79c8:1428","ff02::1:ffc8:1428","ICMPv6","76","Multicast Listener Report"
"55","2026-09-03 10:48:08,383229Z","50.999401","192.168.100.114","224.0.0.252","IGMPv2","36","Membership Report group 224.0.0.252"
"56","2026-09-03 10:48:45,494840Z","37.111611","127.0.0.1","127.0.0.1","TCP","56","49166  >  135 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"57","2026-09-03 10:48:45,494876Z","0.000036","127.0.0.1","127.0.0.1","TCP","56","135  >  49166 [SYN, ACK, ECE] Seq=0 Ack=1 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"58","2026-09-03 10:48:45,494966Z","0.000090","127.0.0.1","127.0.0.1","TCP","44","49166  >  135 [ACK] Seq=1 Ack=1 Win=525568 Len=0"
"59","2026-09-03 10:48:45,501796Z","0.006830","127.0.0.1","127.0.0.1","TCP","56","49167  >  1337 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"60","2026-09-03 10:48:45,501821Z","0.000025","127.0.0.1","127.0.0.1","TCP","56","1337  >  49167 [SYN, ACK, ECE] Seq=0 Ack=1 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"61","2026-09-03 10:48:45,501962Z","0.000141","127.0.0.1","127.0.0.1","TCP","44","49167  >  1337 [ACK] Seq=1 Ack=1 Win=525568 Len=0"
"62","2026-09-03 10:48:45,501968Z","0.000006","127.0.0.1","127.0.0.1","DCERPC","160","Bind: call_id: 4, Fragment: Single, 2 context items: IOXIDResolver V0.0 (32bit NDR), IOXIDResolver V0.0 (6cb71c2c-9812-4540-0300-000000000000)"
"63","2026-09-03 10:48:45,502008Z","0.000040","127.0.0.1","127.0.0.1","TCP","44","1337  >  49167 [ACK] Seq=1 Ack=117 Win=525568 Len=0"
"64","2026-09-03 10:48:45,502624Z","0.000616","127.0.0.1","127.0.0.1","DCERPC","160","Bind: call_id: 4, Fragment: Single, 2 context items: IOXIDResolver V0.0 (32bit NDR), IOXIDResolver V0.0 (6cb71c2c-9812-4540-0300-000000000000)"
"65","2026-09-03 10:48:45,502655Z","0.000031","127.0.0.1","127.0.0.1","TCP","44","135  >  49166 [ACK] Seq=1 Ack=117 Win=525568 Len=0"
"66","2026-09-03 10:48:45,502832Z","0.000177","127.0.0.1","127.0.0.1","DCERPC","128","Bind_ack: call_id: 4, Fragment: Single, max_xmit: 5840 max_recv: 5840, 2 results: Acceptance, Negotiate ACK"
"67","2026-09-03 10:48:45,502857Z","0.000025","127.0.0.1","127.0.0.1","TCP","44","49166  >  135 [ACK] Seq=117 Ack=85 Win=525312 Len=0"
"68","2026-09-03 10:48:45,503119Z","0.000262","127.0.0.1","127.0.0.1","DCERPC","128","Bind_ack: call_id: 4, Fragment: Single, max_xmit: 5840 max_recv: 5840, 2 results: Acceptance, Negotiate ACK"
"69","2026-09-03 10:48:45,503149Z","0.000030","127.0.0.1","127.0.0.1","TCP","44","49167  >  1337 [ACK] Seq=117 Ack=85 Win=525312 Len=0"
"70","2026-09-03 10:48:45,503279Z","0.000130","127.0.0.1","127.0.0.1","IOXIDResolver","68","ServerAlive2 request IOXIDResolver V0"
"71","2026-09-03 10:48:45,503293Z","0.000014","127.0.0.1","127.0.0.1","TCP","44","1337  >  49167 [ACK] Seq=85 Ack=141 Win=525568 Len=0"
"72","2026-09-03 10:48:46,508284Z","1.004991","127.0.0.1","127.0.0.1","IOXIDResolver","68","ServerAlive2 request IOXIDResolver V0"
"73","2026-09-03 10:48:46,508345Z","0.000061","127.0.0.1","127.0.0.1","TCP","44","135  >  49166 [ACK] Seq=85 Ack=141 Win=525568 Len=0"
"74","2026-09-03 10:48:46,508597Z","0.000252","127.0.0.1","127.0.0.1","IOXIDResolver","428","ServerAlive2 response"
"75","2026-09-03 10:48:46,508645Z","0.000048","127.0.0.1","127.0.0.1","TCP","44","49166  >  135 [ACK] Seq=141 Ack=469 Win=525056 Len=0"
"76","2026-09-03 10:48:46,509012Z","0.000367","127.0.0.1","127.0.0.1","IOXIDResolver","428","ServerAlive2 response"
"77","2026-09-03 10:48:46,509076Z","0.000064","127.0.0.1","127.0.0.1","TCP","44","49167  >  1337 [ACK] Seq=141 Ack=469 Win=525056 Len=0"
"78","2026-09-03 10:48:46,509833Z","0.000757","127.0.0.1","127.0.0.1","TCP","56","49168  >  1337 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"79","2026-09-03 10:48:46,509878Z","0.000045","127.0.0.1","127.0.0.1","TCP","56","1337  >  49168 [SYN, ACK, ECE] Seq=0 Ack=1 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"80","2026-09-03 10:48:46,510049Z","0.000171","127.0.0.1","127.0.0.1","TCP","44","49168  >  1337 [ACK] Seq=1 Ack=1 Win=525568 Len=0"
"81","2026-09-03 10:48:46,510193Z","0.000144","127.0.0.1","127.0.0.1","DCERPC","188","Bind: call_id: 5, Fragment: Single, 1 context items: IOXIDResolver V0.0 (32bit NDR), NTLMSSP_NEGOTIATE"
"82","2026-09-03 10:48:46,510209Z","0.000016","127.0.0.1","127.0.0.1","TCP","44","1337  >  49168 [ACK] Seq=1 Ack=145 Win=525568 Len=0"
"83","2026-09-03 10:48:46,514085Z","0.003876","127.0.0.1","127.0.0.1","TCP","56","49169  >  135 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"84","2026-09-03 10:48:46,514123Z","0.000038","127.0.0.1","127.0.0.1","TCP","56","135  >  49169 [SYN, ACK, ECE] Seq=0 Ack=1 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"85","2026-09-03 10:48:46,514259Z","0.000136","127.0.0.1","127.0.0.1","TCP","44","49169  >  135 [ACK] Seq=1 Ack=1 Win=525568 Len=0"
"86","2026-09-03 10:48:46,514265Z","0.000006","127.0.0.1","127.0.0.1","DCERPC","188","Bind: call_id: 5, Fragment: Single, 1 context items: IOXIDResolver V0.0 (32bit NDR), NTLMSSP_NEGOTIATE"
"87","2026-09-03 10:48:46,514312Z","0.000047","127.0.0.1","127.0.0.1","TCP","44","135  >  49169 [ACK] Seq=1 Ack=145 Win=525568 Len=0"
"88","2026-09-03 10:48:46,514932Z","0.000620","127.0.0.1","127.0.0.1","DCERPC","350","Bind_ack: call_id: 5, Fragment: Single, max_xmit: 5840 max_recv: 5840, 1 results: Acceptance, NTLMSSP_CHALLENGE"
"89","2026-09-03 10:48:46,514966Z","0.000034","127.0.0.1","127.0.0.1","TCP","44","49169  >  135 [ACK] Seq=145 Ack=307 Win=525056 Len=0"
"90","2026-09-03 10:48:46,515220Z","0.000254","127.0.0.1","127.0.0.1","DCERPC","350","Bind_ack: call_id: 5, Fragment: Single, max_xmit: 5840 max_recv: 5840, 1 results: Acceptance, NTLMSSP_CHALLENGE"
"91","2026-09-03 10:48:46,515255Z","0.000035","127.0.0.1","127.0.0.1","TCP","44","49168  >  1337 [ACK] Seq=145 Ack=307 Win=525056 Len=0"
"92","2026-09-03 10:48:46,515552Z","0.000297","127.0.0.1","127.0.0.1","DCERPC","160","AUTH3: call_id: 5, Fragment: Single, NTLMSSP_AUTH, User: anonymous"
"93","2026-09-03 10:48:46,515569Z","0.000017","127.0.0.1","127.0.0.1","TCP","44","1337  >  49168 [ACK] Seq=307 Ack=261 Win=525312 Len=0"
"94","2026-09-03 10:48:46,515593Z","0.000024","127.0.0.1","127.0.0.1","IOXIDResolver","86","ResolveOxid2 request"
"95","2026-09-03 10:48:46,515599Z","0.000006","127.0.0.1","127.0.0.1","TCP","44","1337  >  49168 [ACK] Seq=307 Ack=303 Win=525312 Len=0"
"96","2026-09-03 10:48:47,508943Z","0.993344","127.0.0.1","127.0.0.1","IOXIDResolver","202","ResolveOxid2 request"
"97","2026-09-03 10:48:47,509000Z","0.000057","127.0.0.1","127.0.0.1","TCP","44","135  >  49169 [ACK] Seq=307 Ack=303 Win=525312 Len=0"
"98","2026-09-03 10:48:47,509565Z","0.000565","127.0.0.1","127.0.0.1","IOXIDResolver","100","ResolveOxid2 response -> S_OK[Long frame (24 bytes)]"
"99","2026-09-03 10:48:47,509605Z","0.000040","127.0.0.1","127.0.0.1","TCP","44","49169  >  135 [ACK] Seq=303 Ack=363 Win=525056 Len=0"
"100","2026-09-03 10:48:47,509791Z","0.000186","127.0.0.1","127.0.0.1","IOXIDResolver","100","ResolveOxid2 response -> S_OK[Long frame (24 bytes)]"
"101","2026-09-03 10:48:47,509820Z","0.000029","127.0.0.1","127.0.0.1","TCP","44","49168  >  1337 [ACK] Seq=303 Ack=363 Win=525056 Len=0"
"102","2026-09-03 10:48:47,517704Z","0.007884","127.0.0.1","127.0.0.1","TCP","44","49166  >  135 [RST, ACK] Seq=141 Ack=469 Win=0 Len=0"
"103","2026-09-03 10:48:47,517859Z","0.000155","127.0.0.1","127.0.0.1","TCP","44","1337  >  49167 [RST, ACK] Seq=469 Ack=141 Win=0 Len=0"
"104","2026-09-03 10:48:47,517885Z","0.000026","127.0.0.1","127.0.0.1","TCP","44","1337  >  49168 [RST, ACK] Seq=363 Ack=303 Win=0 Len=0"
"105","2026-09-03 10:48:47,517921Z","0.000036","127.0.0.1","127.0.0.1","TCP","44","49169  >  135 [RST, ACK] Seq=303 Ack=363 Win=0 Len=0"
"106","2026-09-03 10:48:51,382476Z","3.864555","fe80::7126:5637:79c8:1428","ff02::1:ffc8:1428","ICMPv6","76","Multicast Listener Report"
"107","2026-09-03 10:48:51,382595Z","0.000119","fe80::7126:5637:79c8:1428","ff02::1:3","ICMPv6","76","Multicast Listener Report"
"108","2026-09-03 10:48:57,882763Z","6.500168","fe80::7126:5637:79c8:1428","ff02::1:ff00:7","ICMPv6","76","Multicast Listener Report"
"109","2026-09-03 10:49:25,089051Z","27.206288","127.0.0.1","127.0.0.1","TCP","56","49170  >  135 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"110","2026-09-03 10:49:25,089097Z","0.000046","127.0.0.1","127.0.0.1","TCP","56","135  >  49170 [SYN, ACK, ECE] Seq=0 Ack=1 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"111","2026-09-03 10:49:25,089145Z","0.000048","127.0.0.1","127.0.0.1","TCP","44","49170  >  135 [ACK] Seq=1 Ack=1 Win=525568 Len=0"
"112","2026-09-03 10:49:25,097774Z","0.008629","127.0.0.1","127.0.0.1","TCP","56","49171  >  1337 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"113","2026-09-03 10:49:25,097803Z","0.000029","127.0.0.1","127.0.0.1","TCP","56","1337  >  49171 [SYN, ACK, ECE] Seq=0 Ack=1 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"114","2026-09-03 10:49:25,097953Z","0.000150","127.0.0.1","127.0.0.1","TCP","44","49171  >  1337 [ACK] Seq=1 Ack=1 Win=525568 Len=0"
"115","2026-09-03 10:49:25,097958Z","0.000005","127.0.0.1","127.0.0.1","DCERPC","160","Bind: call_id: 6, Fragment: Single, 2 context items: IOXIDResolver V0.0 (32bit NDR), IOXIDResolver V0.0 (6cb71c2c-9812-4540-0300-000000000000)"
"116","2026-09-03 10:49:25,098003Z","0.000045","127.0.0.1","127.0.0.1","TCP","44","1337  >  49171 [ACK] Seq=1 Ack=117 Win=525568 Len=0"
"117","2026-09-03 10:49:25,098551Z","0.000548","127.0.0.1","127.0.0.1","DCERPC","160","Bind: call_id: 6, Fragment: Single, 2 context items: IOXIDResolver V0.0 (32bit NDR), IOXIDResolver V0.0 (6cb71c2c-9812-4540-0300-000000000000)"
"118","2026-09-03 10:49:25,098580Z","0.000029","127.0.0.1","127.0.0.1","TCP","44","135  >  49170 [ACK] Seq=1 Ack=117 Win=525568 Len=0"
"119","2026-09-03 10:49:25,098784Z","0.000204","127.0.0.1","127.0.0.1","DCERPC","128","Bind_ack: call_id: 6, Fragment: Single, max_xmit: 5840 max_recv: 5840, 2 results: Acceptance, Negotiate ACK"
"120","2026-09-03 10:49:25,098823Z","0.000039","127.0.0.1","127.0.0.1","TCP","44","49170  >  135 [ACK] Seq=117 Ack=85 Win=525312 Len=0"
"121","2026-09-03 10:49:25,098956Z","0.000133","127.0.0.1","127.0.0.1","DCERPC","128","Bind_ack: call_id: 6, Fragment: Single, max_xmit: 5840 max_recv: 5840, 2 results: Acceptance, Negotiate ACK"
"122","2026-09-03 10:49:25,098988Z","0.000032","127.0.0.1","127.0.0.1","TCP","44","49171  >  1337 [ACK] Seq=117 Ack=85 Win=525312 Len=0"
"123","2026-09-03 10:49:25,099135Z","0.000147","127.0.0.1","127.0.0.1","IOXIDResolver","68","ServerAlive2 request IOXIDResolver V0"
"124","2026-09-03 10:49:25,099152Z","0.000017","127.0.0.1","127.0.0.1","TCP","44","1337  >  49171 [ACK] Seq=85 Ack=141 Win=525568 Len=0"
"125","2026-09-03 10:49:26,085808Z","0.986656","127.0.0.1","127.0.0.1","IOXIDResolver","68","ServerAlive2 request IOXIDResolver V0"
"126","2026-09-03 10:49:26,085876Z","0.000068","127.0.0.1","127.0.0.1","TCP","44","135  >  49170 [ACK] Seq=85 Ack=141 Win=525568 Len=0"
"127","2026-09-03 10:49:26,086171Z","0.000295","127.0.0.1","127.0.0.1","IOXIDResolver","428","ServerAlive2 response"
"128","2026-09-03 10:49:26,086234Z","0.000063","127.0.0.1","127.0.0.1","TCP","44","49170  >  135 [ACK] Seq=141 Ack=469 Win=525056 Len=0"
"129","2026-09-03 10:49:26,086511Z","0.000277","127.0.0.1","127.0.0.1","IOXIDResolver","428","ServerAlive2 response"
"130","2026-09-03 10:49:26,086555Z","0.000044","127.0.0.1","127.0.0.1","TCP","44","49171  >  1337 [ACK] Seq=141 Ack=469 Win=525056 Len=0"
"131","2026-09-03 10:49:26,087271Z","0.000716","127.0.0.1","127.0.0.1","TCP","56","49172  >  1337 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"132","2026-09-03 10:49:26,087310Z","0.000039","127.0.0.1","127.0.0.1","TCP","56","1337  >  49172 [SYN, ACK, ECE] Seq=0 Ack=1 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"133","2026-09-03 10:49:26,087472Z","0.000162","127.0.0.1","127.0.0.1","TCP","44","49172  >  1337 [ACK] Seq=1 Ack=1 Win=525568 Len=0"
"134","2026-09-03 10:49:26,087555Z","0.000083","127.0.0.1","127.0.0.1","DCERPC","188","Bind: call_id: 7, Fragment: Single, 1 context items: IOXIDResolver V0.0 (32bit NDR), NTLMSSP_NEGOTIATE"
"135","2026-09-03 10:49:26,087571Z","0.000016","127.0.0.1","127.0.0.1","TCP","44","1337  >  49172 [ACK] Seq=1 Ack=145 Win=525568 Len=0"
"136","2026-09-03 10:49:26,090770Z","0.003199","127.0.0.1","127.0.0.1","TCP","56","49173  >  135 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"137","2026-09-03 10:49:26,090812Z","0.000042","127.0.0.1","127.0.0.1","TCP","56","135  >  49173 [SYN, ACK, ECE] Seq=0 Ack=1 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM"
"138","2026-09-03 10:49:26,090953Z","0.000141","127.0.0.1","127.0.0.1","TCP","44","49173  >  135 [ACK] Seq=1 Ack=1 Win=525568 Len=0"
"139","2026-09-03 10:49:26,090960Z","0.000007","127.0.0.1","127.0.0.1","DCERPC","188","Bind: call_id: 7, Fragment: Single, 1 context items: IOXIDResolver V0.0 (32bit NDR), NTLMSSP_NEGOTIATE"
"140","2026-09-03 10:49:26,091026Z","0.000066","127.0.0.1","127.0.0.1","TCP","44","135  >  49173 [ACK] Seq=1 Ack=145 Win=525568 Len=0"
"141","2026-09-03 10:49:26,091617Z","0.000591","127.0.0.1","127.0.0.1","DCERPC","350","Bind_ack: call_id: 7, Fragment: Single, max_xmit: 5840 max_recv: 5840, 1 results: Acceptance, NTLMSSP_CHALLENGE"
"142","2026-09-03 10:49:26,091651Z","0.000034","127.0.0.1","127.0.0.1","TCP","44","49173  >  135 [ACK] Seq=145 Ack=307 Win=525056 Len=0"
"143","2026-09-03 10:49:26,091956Z","0.000305","127.0.0.1","127.0.0.1","DCERPC","350","Bind_ack: call_id: 7, Fragment: Single, max_xmit: 5840 max_recv: 5840, 1 results: Acceptance, NTLMSSP_CHALLENGE"
"144","2026-09-03 10:49:26,091993Z","0.000037","127.0.0.1","127.0.0.1","TCP","44","49172  >  1337 [ACK] Seq=145 Ack=307 Win=525056 Len=0"
"145","2026-09-03 10:49:26,092332Z","0.000339","127.0.0.1","127.0.0.1","DCERPC","160","AUTH3: call_id: 7, Fragment: Single, NTLMSSP_AUTH, User: anonymous"
"146","2026-09-03 10:49:26,092353Z","0.000021","127.0.0.1","127.0.0.1","TCP","44","1337  >  49172 [ACK] Seq=307 Ack=261 Win=525312 Len=0"
"147","2026-09-03 10:49:26,092387Z","0.000034","127.0.0.1","127.0.0.1","IOXIDResolver","86","ResolveOxid2 request"
"148","2026-09-03 10:49:26,092397Z","0.000010","127.0.0.1","127.0.0.1","TCP","44","1337  >  49172 [ACK] Seq=307 Ack=303 Win=525312 Len=0"
"149","2026-09-03 10:49:27,086650Z","0.994253","127.0.0.1","127.0.0.1","IOXIDResolver","202","ResolveOxid2 request"
"150","2026-09-03 10:49:27,086731Z","0.000081","127.0.0.1","127.0.0.1","TCP","44","135  >  49173 [ACK] Seq=307 Ack=303 Win=525312 Len=0"
"151","2026-09-03 10:49:27,087456Z","0.000725","127.0.0.1","127.0.0.1","IOXIDResolver","100","ResolveOxid2 response -> S_OK[Long frame (24 bytes)]"
